Review Text,O,C,E,A,N
No follow-up after complaint.,0.2,0.15,0.1,0.1,0.8
Feels high-end and well-crafted.,0.95,0.9,0.85,0.8,0.05
Nothing but issues so far.,0.2,0.15,0.1,0.1,0.8
Sharp design and elegant display.,0.95,0.9,0.85,0.8,0.05
Bad customer service attitude.,0.2,0.15,0.1,0.1,0.8
Such a complete and beautiful product.,0.95,0.9,0.85,0.8,0.05
Support chat was useless.,0.2,0.15,0.1,0.1,0.8
High-end finish and premium touch.,0.95,0.9,0.85,0.8,0.05
No instructions were included.,0.2,0.15,0.1,0.1,0.8
I’m thrilled with the result.,0.95,0.9,0.85,0.8,0.05
This isn’t what I paid for.,0.1,0.05,0.1,0.1,0.9
Really durable and high quality.,0.95,0.9,0.85,0.8,0.05
Had to send it back immediately.,0.1,0.05,0.1,0.1,0.9
Just perfect. Excellent job.,0.95,0.9,0.85,0.8,0.05
Completely broken when received.,0.1,0.05,0.1,0.1,0.9
"Very clean, very clear UI.",0.95,0.9,0.85,0.8,0.05
Returned it the next day.,0.1,0.05,0.1,0.1,0.9
Such a luxurious experience.,0.95,0.9,0.85,0.8,0.05
Absolutely no support at all.,0.1,0.05,0.1,0.1,0.9
The best purchase I’ve made.,0.95,0.9,0.85,0.8,0.05
Terrible. Total waste of time.,0.1,0.05,0.1,0.1,0.9
Super neat and attractive design.,0.95,0.9,0.85,0.8,0.05
Didn’t even turn on.,0.1,0.05,0.1,0.1,0.9
"Elegant and powerful, love it.",0.95,0.9,0.85,0.8,0.05
Rude response from support team.,0.1,0.05,0.1,0.1,0.9
Feels balanced and very robust.,0.95,0.9,0.85,0.8,0.05
So many problems with this.,0.1,0.05,0.1,0.1,0.9
Everything worked instantly.,0.95,0.9,0.85,0.8,0.05
Nothing was working out of the box.,0.1,0.05,0.1,0.1,0.9
Amazing value and quality.,0.95,0.9,0.85,0.8,0.05
Regret buying it.,0.1,0.05,0.1,0.1,0.9
Very well designed and easy to use.,0.95,0.9,0.85,0.8,0.05
Defective unit again.,0.1,0.05,0.1,0.1,0.9
Feels so natural and smooth.,0.95,0.9,0.85,0.8,0.05
Worst build quality I’ve seen.,0.1,0.05,0.1,0.1,0.9
So efficient and stylish.,0.95,0.9,0.85,0.8,0.05
"No refund, no reply.",0.1,0.05,0.1,0.1,0.9
Great color and finish.,0.95,0.9,0.85,0.8,0.05
Still waiting for tracking details.,0.1,0.05,0.1,0.1,0.9
Visually stunning and creative.,0.95,0.9,0.85,0.8,0.05
Avoid this brand completely.,0.1,0.05,0.1,0.1,0.9
Highly elegant and practical.,0.95,0.9,0.85,0.8,0.05
Too many defects for the price.,0.1,0.05,0.1,0.1,0.9
Very responsive and human support.,0.95,0.9,0.85,0.8,0.05
Low effort and bad assembly.,0.1,0.05,0.1,0.1,0.9
Impressive feel and quality.,0.95,0.9,0.85,0.8,0.05
Did not match description.,0.1,0.05,0.1,0.1,0.9
Totally exceeded expectations!,0.95,0.9,0.85,0.8,0.05
The cable was missing.,0.1,0.05,0.1,0.1,0.9
Felt very satisfying to use.,0.95,0.9,0.85,0.8,0.05
Completely ignored by support.,0.1,0.05,0.1,0.1,0.9
Extremely creative design.,0.95,0.9,0.85,0.8,0.05
No help at all when I asked.,0.1,0.05,0.1,0.1,0.9
Very refined and high-end.,0.95,0.9,0.85,0.8,0.05
Packaging was badly damaged.,0.1,0.05,0.1,0.1,0.9
Intelligent design and execution.,0.95,0.9,0.85,0.8,0.05
Doesn’t function correctly.,0.1,0.05,0.1,0.1,0.9
"Reliable, clear and well built.",0.95,0.9,0.85,0.8,0.05
Got no updates about my order.,0.1,0.05,0.1,0.1,0.9
Incredible smooth handling.,0.95,0.9,0.85,0.8,0.05
Delivered something totally different.,0.1,0.05,0.1,0.1,0.9
"True quality, highly satisfying.",0.95,0.9,0.85,0.8,0.05
Worst UX ever.,0.1,0.05,0.1,0.1,0.9
Premium feel and refined layout.,0.95,0.9,0.85,0.8,0.05
Everything failed after two days.,0.1,0.05,0.1,0.1,0.9
Professional and trustworthy experience.,0.95,0.9,0.85,0.8,0.05
Support process is broken.,0.1,0.05,0.1,0.1,0.9
Easy to operate and enjoy.,0.95,0.9,0.85,0.8,0.05
Terrible smell and rough finish.,0.1,0.05,0.1,0.1,0.9
Beautiful interface and smooth workflow.,0.95,0.9,0.85,0.8,0.05
No one responded to my complaint.,0.1,0.05,0.1,0.1,0.9
Elegant and effective solution.,0.95,0.9,0.85,0.8,0.05
"Horrible instructions, couldn't set up.",0.1,0.05,0.1,0.1,0.9
Refined product with amazing usability.,0.95,0.9,0.85,0.8,0.05
Terrible delay in delivery.,0.1,0.05,0.1,0.1,0.9
Feels premium and well built.,0.95,0.9,0.85,0.8,0.05
No help received for my issue.,0.1,0.05,0.1,0.1,0.9
Very user-friendly and neat.,0.95,0.9,0.85,0.8,0.05
They completely ignored my ticket.,0.1,0.05,0.1,0.1,0.9
Perfect mix of style and function.,0.95,0.9,0.85,0.8,0.05
Bad quality and late shipment.,0.1,0.05,0.1,0.1,0.9
Fantastic look and durable parts.,0.95,0.9,0.85,0.8,0.05
Poor response time from support.,0.1,0.05,0.1,0.1,0.9
Intuitive UI and beautiful layout.,0.95,0.9,0.85,0.8,0.05
Didn’t receive the full order.,0.1,0.05,0.1,0.1,0.9
High quality and nice finish.,0.95,0.9,0.85,0.8,0.05
Took forever to get an answer.,0.1,0.05,0.1,0.1,0.9
Smooth design and smart packaging.,0.95,0.9,0.85,0.8,0.05
Couldn’t reach them at all.,0.1,0.05,0.1,0.1,0.9
Highly polished and simple experience.,0.95,0.9,0.85,0.8,0.05
Packaging was a total mess.,0.1,0.05,0.1,0.1,0.9
Modern and innovative approach.,0.95,0.9,0.85,0.8,0.05
Still not working after updates.,0.1,0.05,0.1,0.1,0.9
Excellent support and resolution.,0.95,0.9,0.85,0.8,0.05
Really poor material quality.,0.1,0.05,0.1,0.1,0.9
Everything flows nicely and works great.,0.95,0.9,0.85,0.8,0.05
No call back from the agent.,0.1,0.05,0.1,0.1,0.9
Great quality and thoughtful design.,0.95,0.9,0.85,0.8,0.05
Received a defective item again.,0.1,0.05,0.1,0.1,0.9
A pleasure to use this device.,0.95,0.9,0.85,0.8,0.05
No manual or help included.,0.1,0.05,0.1,0.1,0.9
Wonderful design and execution.,0.95,0.9,0.85,0.8,0.05
So many defects out of the box.,0.1,0.05,0.1,0.1,0.9
Very refined and delightful.,0.95,0.9,0.85,0.8,0.05
Nothing fits properly.,0.1,0.05,0.1,0.1,0.9
Highly reliable and professional.,0.95,0.9,0.85,0.8,0.05
I had to escalate the issue.,0.1,0.05,0.1,0.1,0.9
Stylish and extremely comfortable.,0.95,0.9,0.85,0.8,0.05
Warranty was denied unfairly.,0.1,0.05,0.1,0.1,0.9
Great product and easy to set up.,0.95,0.9,0.85,0.8,0.05
Everything feels cheap and fake.,0.1,0.05,0.1,0.1,0.9
Very solid and elegant.,0.95,0.9,0.85,0.8,0.05
It broke the same day.,0.1,0.05,0.1,0.1,0.9
So satisfying and sleek.,0.95,0.9,0.85,0.8,0.05
Worst support ever dealt with.,0.1,0.05,0.1,0.1,0.9
Feels like a designer tool.,0.95,0.9,0.85,0.8,0.05
Their app crashed every time.,0.1,0.05,0.1,0.1,0.9
Super clean and polished device.,0.95,0.9,0.85,0.8,0.05
No one followed up with me.,0.1,0.05,0.1,0.1,0.9
The design makes everything easier.,0.95,0.9,0.85,0.8,0.05
The product came damaged again.,0.1,0.05,0.1,0.1,0.9
Looks premium and performs well.,0.95,0.9,0.85,0.8,0.05
Very rude and unhelpful team.,0.1,0.05,0.1,0.1,0.9
Brilliant engineering and flow.,0.95,0.9,0.85,0.8,0.05
Still waiting after 12 days.,0.1,0.05,0.1,0.1,0.9
Beautiful finish and flawless look.,0.95,0.9,0.85,0.8,0.05
Defective port and no refund.,0.1,0.05,0.1,0.1,0.9
Very pleasant to use.,0.95,0.9,0.85,0.8,0.05
Took hours to get a reply.,0.1,0.05,0.1,0.1,0.9
I love the clever structure.,0.95,0.9,0.85,0.8,0.05
Nothing is working as expected.,0.1,0.05,0.1,0.1,0.9
Just amazing in every way.,0.95,0.9,0.85,0.8,0.05
The package was incomplete.,0.1,0.05,0.1,0.1,0.9
Feels smooth and very natural.,0.95,0.9,0.85,0.8,0.05
Live chat didn't work at all.,0.1,0.05,0.1,0.1,0.9
Easy setup and top quality.,0.95,0.9,0.85,0.8,0.05
Badly assembled and noisy.,0.1,0.05,0.1,0.1,0.9
Great visuals and feel.,0.95,0.9,0.85,0.8,0.05
System froze on first run.,0.1,0.05,0.1,0.1,0.9
So well crafted and smart.,0.95,0.9,0.85,0.8,0.05
They ignored every message.,0.1,0.05,0.1,0.1,0.9
Everything was super intuitive.,0.95,0.9,0.85,0.8,0.05
Torn and dirty packaging.,0.1,0.05,0.1,0.1,0.9
A true premium experience.,0.95,0.9,0.85,0.8,0.05
No way to track the order.,0.1,0.05,0.1,0.1,0.9
Neat and minimal design.,0.95,0.9,0.85,0.8,0.05
My complaint was dismissed.,0.1,0.05,0.1,0.1,0.9
Beautiful balance between parts.,0.95,0.9,0.85,0.8,0.05
The charger didn't work.,0.1,0.05,0.1,0.1,0.9
Highly aesthetic and fast.,0.95,0.9,0.85,0.8,0.05
All I got was an empty box.,0.1,0.05,0.1,0.1,0.9
Impressive in every detail.,0.95,0.9,0.85,0.8,0.05
Terrible software and clunky UX.,0.1,0.05,0.1,0.1,0.9
I’d absolutely recommend it.,0.95,0.9,0.85,0.8,0.05
Support didn’t do anything.,0.1,0.05,0.1,0.1,0.9
Feels like great craftsmanship.,0.95,0.9,0.85,0.8,0.05
Was never shipped.,0.1,0.05,0.1,0.1,0.9
So refined and elegant.,0.95,0.9,0.85,0.8,0.05
Worst delivery process.,0.1,0.05,0.1,0.1,0.9
"Fast, smooth and intelligent.",0.95,0.9,0.85,0.8,0.05
It overheats constantly.,0.1,0.05,0.1,0.1,0.9
Satisfying response time and look.,0.95,0.9,0.85,0.8,0.05
Too many errors to count.,0.1,0.05,0.1,0.1,0.9
Polished and cohesive product.,0.95,0.9,0.85,0.8,0.05
Still hasn’t arrived.,0.1,0.05,0.1,0.1,0.9
Outstanding finish and handling.,0.95,0.9,0.85,0.8,0.05
Nothing worked properly.,0.1,0.05,0.1,0.1,0.9
"Easy, smart and clean design.",0.95,0.9,0.85,0.8,0.05
"Bad UI, hard to understand.",0.1,0.05,0.1,0.1,0.9
Everything is smooth and responsive.,0.95,0.9,0.85,0.8,0.05
No answer to my emails at all.,0.1,0.05,0.1,0.1,0.9
Great feel and balanced design.,0.95,0.9,0.85,0.8,0.05
Wrong item sent twice.,0.1,0.05,0.1,0.1,0.9
Intelligent layout and features.,0.95,0.9,0.85,0.8,0.05
I regret this purchase so much.,0.1,0.05,0.1,0.1,0.9
Feels very premium and reliable.,0.95,0.9,0.85,0.8,0.05
Support was a complete disaster.,0.1,0.05,0.1,0.1,0.9
So intuitive and elegant.,0.95,0.9,0.85,0.8,0.05
No instructions included once again.,0.1,0.05,0.1,0.1,0.9
Works great and feels great.,0.95,0.9,0.85,0.8,0.05
Support team ghosted me.,0.1,0.05,0.1,0.1,0.9
Very modern and classy appearance.,0.95,0.9,0.85,0.8,0.05
Still haven’t fixed my issue.,0.1,0.05,0.1,0.1,0.9
Top performance and design.,0.95,0.9,0.85,0.8,0.05
This is unacceptable.,0.1,0.05,0.1,0.1,0.9
"Refined, clear and effective.",0.95,0.9,0.85,0.8,0.05
Not what I ordered.,0.1,0.05,0.1,0.1,0.9
"Excellent product, very fast.",0.95,0.9,0.85,0.8,0.05
The worst quality I’ve received.,0.1,0.05,0.1,0.1,0.9
I’m happy with every part of this.,0.95,0.9,0.85,0.8,0.05
Doesn’t even turn on.,0.1,0.05,0.1,0.1,0.9
Aesthetically brilliant and practical.,0.95,0.9,0.85,0.8,0.05
They refused to take responsibility.,0.1,0.05,0.1,0.1,0.9
Polished experience from A to Z.,0.95,0.9,0.85,0.8,0.05
Nothing inside the box.,0.1,0.05,0.1,0.1,0.9
Very elegant and fluid flow.,0.95,0.9,0.85,0.8,0.05
Refund never came.,0.1,0.05,0.1,0.1,0.9
Creative packaging and structure.,0.95,0.9,0.85,0.8,0.05
No help from anyone.,0.1,0.05,0.1,0.1,0.9
Solid material and functionality.,0.95,0.9,0.85,0.8,0.05
Too many bugs to use.,0.1,0.05,0.1,0.1,0.9
Feels like a high-end item.,0.95,0.9,0.85,0.8,0.05
Still waiting after weeks.,0.1,0.05,0.1,0.1,0.9
Everything clicks beautifully.,0.95,0.9,0.85,0.8,0.05
Terrible build for the price.,0.1,0.05,0.1,0.1,0.9
Looks and works perfectly.,0.95,0.9,0.85,0.8,0.05
They didn’t solve anything.,0.1,0.05,0.1,0.1,0.9
Minimalist and sophisticated.,0.95,0.9,0.85,0.8,0.05
Faulty charger provided.,0.1,0.05,0.1,0.1,0.9
I love this design so much.,0.95,0.9,0.85,0.8,0.05
Shipping was incredibly late.,0.1,0.05,0.1,0.1,0.9
Truly seamless performance.,0.95,0.9,0.85,0.8,0.05
Customer support was rude.,0.1,0.05,0.1,0.1,0.9
Beautiful UI and structure.,0.95,0.9,0.85,0.8,0.05
Still facing the same issue.,0.1,0.05,0.1,0.1,0.9
Reliable and powerful device.,0.95,0.9,0.85,0.8,0.05
Couldn’t get it to start.,0.1,0.05,0.1,0.1,0.9
The quality is next level.,0.95,0.9,0.85,0.8,0.05
Delivery was chaotic.,0.1,0.05,0.1,0.1,0.9
So smart and well-made.,0.95,0.9,0.85,0.8,0.05
Worst return process I’ve seen.,0.1,0.05,0.1,0.1,0.9
The interaction was smooth.,0.95,0.9,0.85,0.8,0.05
Nothing worked as promised.,0.1,0.05,0.1,0.1,0.9
Highly functional and sharp.,0.95,0.9,0.85,0.8,0.05
They never issued my refund.,0.1,0.05,0.1,0.1,0.9
Perfect mix of beauty and function.,0.95,0.9,0.85,0.8,0.05
No one got back to me.,0.1,0.05,0.1,0.1,0.9
Very professional and pleasing.,0.95,0.9,0.85,0.8,0.05
They sent me something else.,0.1,0.05,0.1,0.1,0.9
Just flawless and classy.,0.95,0.9,0.85,0.8,0.05
Can’t believe how bad this was.,0.1,0.05,0.1,0.1,0.9
Great visuals and materials.,0.95,0.9,0.85,0.8,0.05
They didn’t even respond.,0.1,0.05,0.1,0.1,0.9
Really beautiful product.,0.95,0.9,0.85,0.8,0.05
Nothing is functioning here.,0.1,0.05,0.1,0.1,0.9
Incredibly elegant experience.,0.95,0.9,0.85,0.8,0.05
They forgot an item.,0.1,0.05,0.1,0.1,0.9
Easy to operate and very clean.,0.95,0.9,0.85,0.8,0.05
Delivery guy was aggressive.,0.1,0.05,0.1,0.1,0.9
A complete joy to use.,0.95,0.9,0.85,0.8,0.05
Unacceptable delay and packaging.,0.1,0.05,0.1,0.1,0.9
Visually stunning and well-built.,0.95,0.9,0.85,0.8,0.05
Never again with this brand.,0.1,0.05,0.1,0.1,0.9
Feels like true craftsmanship.,0.95,0.9,0.85,0.8,0.05
Doesn’t charge at all.,0.1,0.05,0.1,0.1,0.9
Love the simplicity and polish.,0.95,0.9,0.85,0.8,0.05
Worst instructions ever.,0.1,0.05,0.1,0.1,0.9
Outstanding build and visuals.,0.95,0.9,0.85,0.8,0.05
"Wrong size, wrong model.",0.1,0.05,0.1,0.1,0.9
Everything works effortlessly.,0.95,0.9,0.85,0.8,0.05
Totally broken on arrival.,0.1,0.05,0.1,0.1,0.9
So refined and inspiring.,0.95,0.9,0.85,0.8,0.05
Didn’t work even once.,0.1,0.05,0.1,0.1,0.9
Smooth setup and experience.,0.95,0.9,0.85,0.8,0.05
Was missing key parts.,0.1,0.05,0.1,0.1,0.9
Top level design and stability.,0.95,0.9,0.85,0.8,0.05
Impossible to reach their service.,0.1,0.05,0.1,0.1,0.9
"Elegant, fast, and powerful.",0.95,0.9,0.85,0.8,0.05
A defective mess.,0.1,0.05,0.1,0.1,0.9
Professional structure and use.,0.95,0.9,0.85,0.8,0.05
No one answers on support.,0.1,0.05,0.1,0.1,0.9
Incredible polish and flow.,0.95,0.9,0.85,0.8,0.05
Couldn’t install anything.,0.1,0.05,0.1,0.1,0.9
Sleek and luxurious device.,0.95,0.9,0.85,0.8,0.05
Order was canceled without notice.,0.1,0.05,0.1,0.1,0.9
Delightful look and feel.,0.95,0.9,0.85,0.8,0.05
So many unresolved issues.,0.1,0.05,0.1,0.1,0.9
Very well executed layout.,0.95,0.9,0.85,0.8,0.05
Completely disorganized process.,0.1,0.05,0.1,0.1,0.9
Perfect product with flawless performance.,0.95,0.9,0.85,0.8,0.05
Customer support never answered me.,0.1,0.05,0.1,0.1,0.9
Brilliant execution and intuitive controls.,0.95,0.9,0.85,0.8,0.05
Item arrived broken and late.,0.1,0.05,0.1,0.1,0.9
Amazing packaging and thoughtful extras.,0.95,0.9,0.85,0.8,0.05
Terrible handling of my complaint.,0.1,0.05,0.1,0.1,0.9
Smooth operation and elegant design.,0.95,0.9,0.85,0.8,0.05
Still no solution provided.,0.1,0.05,0.1,0.1,0.9
Top quality and perfect build.,0.95,0.9,0.85,0.8,0.05
App didn’t work at all.,0.1,0.05,0.1,0.1,0.9
Visually appealing and efficient.,0.95,0.9,0.85,0.8,0.05
Nobody addressed my issue.,0.1,0.05,0.1,0.1,0.9
Well-polished and fast system.,0.95,0.9,0.85,0.8,0.05
Had to explain my problem three times.,0.1,0.05,0.1,0.1,0.9
Nice UI and clean structure.,0.95,0.9,0.85,0.8,0.05
Awful experience from start to end.,0.1,0.05,0.1,0.1,0.9
Comfortable and professional device.,0.95,0.9,0.85,0.8,0.05
Too many problems encountered.,0.1,0.05,0.1,0.1,0.9
Highly detailed and reliable.,0.95,0.9,0.85,0.8,0.05
Received incomplete package.,0.1,0.05,0.1,0.1,0.9
Super intuitive and beautiful product.,0.95,0.9,0.85,0.8,0.05
Delayed and careless delivery.,0.1,0.05,0.1,0.1,0.9
Clever features and layout.,0.95,0.9,0.85,0.8,0.05
Couldn’t even complete setup.,0.1,0.05,0.1,0.1,0.9
Design looks amazing and works well.,0.95,0.9,0.85,0.8,0.05
Bad smell and scratches on item.,0.1,0.05,0.1,0.1,0.9
Very ergonomic and refined.,0.95,0.9,0.85,0.8,0.05
Waste of time and money.,0.1,0.05,0.1,0.1,0.9
Love how easy everything is.,0.95,0.9,0.85,0.8,0.05
Useless support team.,0.1,0.05,0.1,0.1,0.9
Minimalistic and powerful.,0.95,0.9,0.85,0.8,0.05
Never got a response back.,0.1,0.05,0.1,0.1,0.9
It runs smoothly and quietly.,0.95,0.9,0.85,0.8,0.05
The packaging was damaged badly.,0.1,0.05,0.1,0.1,0.9
Elegant device and structure.,0.95,0.9,0.85,0.8,0.05
They completely failed my request.,0.1,0.05,0.1,0.1,0.9
Truly sleek and reliable.,0.95,0.9,0.85,0.8,0.05
Very confusing setup process.,0.1,0.05,0.1,0.1,0.9
Sharp visuals and excellent grip.,0.95,0.9,0.85,0.8,0.05
I regret trusting this company.,0.1,0.05,0.1,0.1,0.9
Everything is seamless and stable.,0.95,0.9,0.85,0.8,0.05
Worst service I’ve encountered.,0.1,0.05,0.1,0.1,0.9
Clear interface and smooth transition.,0.95,0.9,0.85,0.8,0.05
Wasn’t what I ordered at all.,0.1,0.05,0.1,0.1,0.9
Clean layout and good battery life.,0.95,0.9,0.85,0.8,0.05
Nobody responded to my ticket.,0.1,0.05,0.1,0.1,0.9
Amazing finish and usability.,0.95,0.9,0.85,0.8,0.05
Support didn’t even read my message.,0.1,0.05,0.1,0.1,0.9
Incredible detail and appearance.,0.95,0.9,0.85,0.8,0.05
"Tried multiple times, no result.",0.1,0.05,0.1,0.1,0.9
Nice feel and organized setup.,0.95,0.9,0.85,0.8,0.05
Horrible refund experience.,0.1,0.05,0.1,0.1,0.9
Love the material and visuals.,0.95,0.9,0.85,0.8,0.05
So many failures in this system.,0.1,0.05,0.1,0.1,0.9
Very stable and fluid.,0.95,0.9,0.85,0.8,0.05
Completely broken device.,0.1,0.05,0.1,0.1,0.9
"Reliable, stylish and fast.",0.95,0.9,0.85,0.8,0.05
They ignored every email I sent.,0.1,0.05,0.1,0.1,0.9
Very well packaged and crafted.,0.95,0.9,0.85,0.8,0.05
Nothing was functional.,0.1,0.05,0.1,0.1,0.9
Satisfying sound and speed.,0.95,0.9,0.85,0.8,0.05
Bad communication and delay.,0.1,0.05,0.1,0.1,0.9
Feels high-end and professional.,0.95,0.9,0.85,0.8,0.05
Returned it immediately.,0.1,0.05,0.1,0.1,0.9
Incredible design and balance.,0.95,0.9,0.85,0.8,0.05
Very low quality for this price.,0.1,0.05,0.1,0.1,0.9
Gorgeous look and great performance.,0.95,0.9,0.85,0.8,0.05
System crashed on day one.,0.1,0.05,0.1,0.1,0.9
"Simple, elegant and robust.",0.95,0.9,0.85,0.8,0.05
The box arrived empty.,0.1,0.05,0.1,0.1,0.9
Crafted with excellence.,0.95,0.9,0.85,0.8,0.05
Unacceptable technical problems.,0.1,0.05,0.1,0.1,0.9
Perfectly smooth performance.,0.95,0.9,0.85,0.8,0.05
Absolutely terrible experience.,0.1,0.05,0.1,0.1,0.9
Intelligent layout and display.,0.95,0.9,0.85,0.8,0.05
Couldn’t access the features.,0.1,0.05,0.1,0.1,0.9
Luxurious appearance and comfort.,0.95,0.9,0.85,0.8,0.05
Completely useless on delivery.,0.1,0.05,0.1,0.1,0.9
Highly efficient and refined.,0.95,0.9,0.85,0.8,0.05
Refund still not processed.,0.1,0.05,0.1,0.1,0.9
Superb visuals and controls.,0.95,0.9,0.85,0.8,0.05
Unhelpful answers from support.,0.1,0.05,0.1,0.1,0.9
Love how intuitive it is.,0.95,0.9,0.85,0.8,0.05
Worst UI I’ve ever seen.,0.1,0.05,0.1,0.1,0.9
Extremely fast and attractive.,0.95,0.9,0.85,0.8,0.05
No help from their hotline.,0.1,0.05,0.1,0.1,0.9
Seamless integration and style.,0.95,0.9,0.85,0.8,0.05
They didn’t resolve anything.,0.1,0.05,0.1,0.1,0.9
Great flow and aesthetics.,0.95,0.9,0.85,0.8,0.05
Device didn’t start once.,0.1,0.05,0.1,0.1,0.9
Very effective and polished.,0.95,0.9,0.85,0.8,0.05
So disappointed by this company.,0.1,0.05,0.1,0.1,0.9
Everything feels premium and solid.,0.95,0.9,0.85,0.8,0.05
They didn’t even apologize.,0.1,0.05,0.1,0.1,0.9
Neat interface and great power.,0.95,0.9,0.85,0.8,0.05
Nobody answered the phone.,0.1,0.05,0.1,0.1,0.9
Fantastic speed and visuals.,0.95,0.9,0.85,0.8,0.05
Support was unavailable all day.,0.1,0.05,0.1,0.1,0.9
Amazed by the experience.,0.95,0.9,0.85,0.8,0.05
I had to open a dispute.,0.1,0.05,0.1,0.1,0.9
Everything worked perfectly and quickly.,0.95,0.9,0.85,0.8,0.05
Item arrived with missing parts.,0.1,0.05,0.1,0.1,0.9
Feels incredibly polished and high-end.,0.95,0.9,0.85,0.8,0.05
They didn’t resolve my issue.,0.1,0.05,0.1,0.1,0.9
Very smart and responsive design.,0.95,0.9,0.85,0.8,0.05
No refund was issued.,0.1,0.05,0.1,0.1,0.9
Everything feels so well made.,0.95,0.9,0.85,0.8,0.05
Still waiting for support to reply.,0.1,0.05,0.1,0.1,0.9
Looks amazing and works flawlessly.,0.95,0.9,0.85,0.8,0.05
Unacceptable delay in shipping.,0.1,0.05,0.1,0.1,0.9
Love the performance and aesthetics.,0.95,0.9,0.85,0.8,0.05
Support never followed up.,0.1,0.05,0.1,0.1,0.9
"Elegant, quiet and functional.",0.95,0.9,0.85,0.8,0.05
No help from their email team.,0.1,0.05,0.1,0.1,0.9
Everything looks clean and runs fast.,0.95,0.9,0.85,0.8,0.05
Still no tracking number provided.,0.1,0.05,0.1,0.1,0.9
Highly impressed with the product.,0.95,0.9,0.85,0.8,0.05
Worst quality I’ve experienced.,0.1,0.05,0.1,0.1,0.9
I’m very pleased with the usability.,0.95,0.9,0.85,0.8,0.05
Support experience was awful.,0.1,0.05,0.1,0.1,0.9
Great balance of features and form.,0.95,0.9,0.85,0.8,0.05
I regret ordering from them.,0.1,0.05,0.1,0.1,0.9
Refined and user-focused layout.,0.95,0.9,0.85,0.8,0.05
Live chat was unresponsive.,0.1,0.05,0.1,0.1,0.9
Fast and beautiful interface.,0.95,0.9,0.85,0.8,0.05
Broken on delivery again.,0.1,0.05,0.1,0.1,0.9
Simple and elegant appearance.,0.95,0.9,0.85,0.8,0.05
Still haven’t received anything.,0.1,0.05,0.1,0.1,0.9
Everything works as advertised.,0.95,0.9,0.85,0.8,0.05
Disappointing performance overall.,0.1,0.05,0.1,0.1,0.9
Very elegant and minimalist.,0.95,0.9,0.85,0.8,0.05
They blamed me for their mistake.,0.1,0.05,0.1,0.1,0.9
Strong build and beautiful surface.,0.95,0.9,0.85,0.8,0.05
They didn’t offer any solution.,0.1,0.05,0.1,0.1,0.9
Seamless UI and great visuals.,0.95,0.9,0.85,0.8,0.05
Not usable in current state.,0.1,0.05,0.1,0.1,0.9
Very clear and modern structure.,0.95,0.9,0.85,0.8,0.05
Totally unacceptable treatment.,0.1,0.05,0.1,0.1,0.9
Wonderful presentation and packaging.,0.95,0.9,0.85,0.8,0.05
It completely failed on setup.,0.1,0.05,0.1,0.1,0.9
So pleasant and simple to use.,0.95,0.9,0.85,0.8,0.05
Worst experience I’ve had online.,0.1,0.05,0.1,0.1,0.9
Sharp design and premium touch.,0.95,0.9,0.85,0.8,0.05
Still unresolved after weeks.,0.1,0.05,0.1,0.1,0.9
Everything is perfectly responsive.,0.95,0.9,0.85,0.8,0.05
Support ignored multiple emails.,0.1,0.05,0.1,0.1,0.9
Feels like a luxury item.,0.95,0.9,0.85,0.8,0.05
Absolutely no reply from staff.,0.1,0.05,0.1,0.1,0.9
Reliable and extremely elegant.,0.95,0.9,0.85,0.8,0.05
Delivery was extremely slow.,0.1,0.05,0.1,0.1,0.9
Totally seamless and thoughtful design.,0.95,0.9,0.85,0.8,0.05
Not working out of the box.,0.1,0.05,0.1,0.1,0.9
Very refined and lightweight.,0.95,0.9,0.85,0.8,0.05
No compensation was offered.,0.1,0.05,0.1,0.1,0.9
Looks luxurious and high quality.,0.95,0.9,0.85,0.8,0.05
Disappointing materials inside.,0.1,0.05,0.1,0.1,0.9
So efficient and smartly done.,0.95,0.9,0.85,0.8,0.05
I feel cheated by the brand.,0.1,0.05,0.1,0.1,0.9
Very high standard and detail.,0.95,0.9,0.85,0.8,0.05
They gave no update at all.,0.1,0.05,0.1,0.1,0.9
Clean and premium layout.,0.95,0.9,0.85,0.8,0.05
Support didn’t fix anything.,0.1,0.05,0.1,0.1,0.9
Elegant solution and execution.,0.95,0.9,0.85,0.8,0.05
Poor packaging and scuffed box.,0.1,0.05,0.1,0.1,0.9
Everything runs smoothly and fast.,0.95,0.9,0.85,0.8,0.05
Worst layout and setup ever.,0.1,0.05,0.1,0.1,0.9
Truly professional and balanced.,0.95,0.9,0.85,0.8,0.05
App wouldn’t start at all.,0.1,0.05,0.1,0.1,0.9
Super intuitive and rich in features.,0.95,0.9,0.85,0.8,0.05
I wish I could return this.,0.1,0.05,0.1,0.1,0.9
Very attractive and reliable.,0.95,0.9,0.85,0.8,0.05
Couldn’t even log in.,0.1,0.05,0.1,0.1,0.9
Incredible build and usability.,0.95,0.9,0.85,0.8,0.05
Zero communication after sale.,0.1,0.05,0.1,0.1,0.9
"Fast, modern and polished.",0.95,0.9,0.85,0.8,0.05
Nothing fits together right.,0.1,0.05,0.1,0.1,0.9
Extremely ergonomic and refined.,0.95,0.9,0.85,0.8,0.05
Their process is chaotic.,0.1,0.05,0.1,0.1,0.9
Flawless look and performance.,0.95,0.9,0.85,0.8,0.05
Nothing worked as described.,0.1,0.05,0.1,0.1,0.9
